year,tag,countryName,population,gdp,rgoUnemploymentRate,factoryUnemploymentRate,rgoWorkforce,factoryWorkforce,continent,gdpPerCapita,totalPercentageOfUnemployed
1993,SEN,Senegalia,7360228,13715910000,0.89817417,-1.5804248,1576977,119335,Africa,1864,0.7
1993,SER,Serbia,0,0,0,0,0,0,Europe,0,0
1993,SEY,Seychelles,70556,117257230,1.1143014,-1.5602838,14628,1410,Africa,1662,0.9
1993,SKN,St Kits and Nevis,42432,6741616,2.1076524,1.871102,9252,481,North America,159,2.1
1993,SKO,South Korea,42867580,3.88E+11,0.005117261,-7.0087047,8696058,898711,Asia,9043,-0.7
1993,SLO,Slovenia,2069708,10176351000,0.898445,-4.479329,432859,39113,Europe,4917,0.5
1993,SML,Somaliland,3399172,8313656000,0.474877,-8.801806,731979,49149,Africa,2446,-0.1
1993,SMO,American Samoa,36452,32108920,0.6706408,-239.47368,8052,38,North America,881,-0.4
1993,SNG,Singapore,3049576,18839496000,0,-4.8308973,448326,93937,Asia,6178,-0.8
1993,SOL,Solomon Islands,322236,82405040,1.1348206,36.555508,72170,2369,Oceania,256,2.2
1993,SOM,Somalia,6918640,10919235000,2.5618737,-8.048645,1482899,98675,Africa,1578,1.9
1993,SOT,South Ossetia,120252,72192454,0.7201728,-3.409091,24994,2376,Asia,600,0.3
1993,SPA,Spain,42435436,4.32E+11,0.6889447,-4.963452,8364822,1246995,Europe,10187,0
1993,SRK,Krajina,550244,230642940,24.989079,100,114458,11034,Europe,419,31.6
1993,SRL,Sri Lanka,17155908,17734561000,1.6338851,-20.794151,3833868,96984,Asia,1034,1
1993,SRN,Sierra Leone,4369012,12050934600,2.8496606,-0.38173312,942428,63919,Africa,2758,2.6
1993,SSU,South Sudan,0,0,0,0,0,0,Africa,0,0
1993,STL,St Lucia,139292,105751740,0.8993207,12.104073,31357,884,North America,759,1.2
1993,STP,Sao Tome and Principe,111500,114339960,0.2940402,10.015528,22786,2576,Africa,1025,1.3
